Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
1,DEBIT,IMPS,8380507338,Ritika Sharma,9256195745,Ananya Mehta,148228.88,2024-01-01,07:56:43,-1900463.19,296707.83,Home Loan,1179401.57
2,CREDIT,Bank Transfer,3342331444,Kavya Mehta,8380507338,Ritika Sharma,123756.59,2024-01-02,18:54:53,355680.49,296707.83,Home Loan,1179401.57
3,CREDIT,NEFT,3342331444,Kavya Mehta,8380507338,Ritika Sharma,40149.18,2024-01-04,23:38:23,507798.92,296707.83,Home Loan,1179401.57
4,DEBIT,IMPS,8380507338,Ritika Sharma,8217611860,Meera Joshi,41992.66,2024-01-05,22:07:30,5888711.24,296707.83,Home Loan,1179401.57
5,CREDIT,RTGS,4745927824,Kabir Reddy,8380507338,Ritika Sharma,129018.86,2024-01-09,16:03:06,-1231582.43,296707.83,Home Loan,1179401.57
6,DEBIT,IMPS,8380507338,Ritika Sharma,1298737106,Krishna Gupta,12406.02,2024-01-14,04:31:30,-1508267.94,296707.83,Home Loan,1179401.57
7,DEBIT,IMPS,8380507338,Ritika Sharma,9703905715,Aisha Reddy,6697.61,2024-01-19,19:40:11,519261.8,296707.83,Home Loan,1179401.57
8,DEBIT,IMPS,8380507338,Ritika Sharma,6971815972,Ritika Iyer,29885.56,2024-01-25,22:04:19,2291427.05,296707.83,Home Loan,1179401.57
9,DEBIT,IMPS,8380507338,Ritika Sharma,2419179580,Ishaan Kapoor,36749.32,2024-01-26,10:37:03,2019794.84,296707.83,Home Loan,1179401.57
10,DEBIT,RTGS,8380507338,Ritika Sharma,8507497883,Kavya Patel,51409.08,2024-02-02,04:20:28,5535919.05,296707.83,Home Loan,1179401.57
11,DEBIT,RTGS,8380507338,Ritika Sharma,4700855390,Rohan Nair,106989.14,2024-02-03,23:43:11,4911594.27,296707.83,Home Loan,1179401.57
12,DEBIT,Bank Transfer,8380507338,Ritika Sharma,8316648259,Aarav Iyer,112629.06,2024-02-05,18:29:36,5628159.45,296707.83,Home Loan,1179401.57
13,DEBIT,NEFT,8380507338,Ritika Sharma,9680276057,Vivaan Reddy,44997.74,2024-02-07,02:09:22,2321312.61,296707.83,Home Loan,1179401.57
14,CREDIT,UPI,4272602734,Kavya Mehta,8380507338,Ritika Sharma,6790.81,2024-02-11,12:06:53,3430467.7,296707.83,Home Loan,1179401.57
15,CREDIT,RTGS,9292791081,Krishna Gupta,8380507338,Ritika Sharma,36922.5,2024-02-12,00:29:19,-1360601.29,296707.83,Home Loan,1179401.57
16,DEBIT,NEFT,8380507338,Ritika Sharma,3030106617,Aisha Singh,71028.8,2024-02-17,12:41:00,-1096637.74,296707.83,Home Loan,1179401.57
17,DEBIT,RTGS,8380507338,Ritika Sharma,8507497883,Kavya Patel,121540.31,2024-02-26,09:06:44,4526633.15,296707.83,Home Loan,1179401.57
18,DEBIT,IMPS,8380507338,Ritika Sharma,6971815972,Ritika Iyer,19023.35,2024-02-26,13:42:43,2547019.02,296707.83,Home Loan,1179401.57
19,DEBIT,Bank Transfer,8380507338,Ritika Sharma,6687206971,Kabir Mehta,49588.25,2024-03-01,11:52:19,-1752234.31,296707.83,Home Loan,1179401.57
20,CREDIT,IMPS,9703905715,Aisha Reddy,8380507338,Ritika Sharma,96954.45,2024-03-01,19:19:27,777696.57,296707.83,Home Loan,1179401.57
21,CREDIT,UPI,4733616459,Ishaan Reddy,8380507338,Ritika Sharma,60267.92,2024-03-03,12:48:42,1222461.31,296707.83,Home Loan,1179401.57
22,DEBIT,IMPS,8380507338,Ritika Sharma,7393195616,Vihaan Sharma,85842.39,2024-03-03,19:20:00,-1702646.06,296707.83,Home Loan,1179401.57
23,DEBIT,UPI,8380507338,Ritika Sharma,3849232839,Ritika Patel,90941.01,2024-03-06,16:04:18,3205139.7,296707.83,Home Loan,1179401.57
24,CREDIT,NEFT,3783290795,Diya Nair,8380507338,Ritika Sharma,66888.98,2024-03-09,02:54:30,2178711.57,296707.83,Home Loan,1179401.57
25,CREDIT,RTGS,6687206971,Kabir Mehta,8380507338,Ritika Sharma,53058.4,2024-03-20,01:56:03,3780681.28,296707.83,Home Loan,1179401.57
26,DEBIT,IMPS,8380507338,Ritika Sharma,3783290795,Diya Nair,62428.42,2024-03-20,18:19:37,1849519.53,296707.83,Home Loan,1179401.57
27,CREDIT,UPI,4733616459,Ishaan Reddy,8380507338,Ritika Sharma,136615.77,2024-03-27,01:56:26,1066009.37,296707.83,Home Loan,1179401.57
28,DEBIT,RTGS,8380507338,Ritika Sharma,3342331444,Kavya Mehta,75186.87,2024-03-29,07:31:27,3443563.82,296707.83,Home Loan,1179401.57
29,CREDIT,NEFT,8047877267,Vihaan Joshi,8380507338,Ritika Sharma,16655.24,2024-04-03,02:56:20,2987984.31,296707.83,Home Loan,1179401.57
30,CREDIT,IMPS,7393195616,Vihaan Sharma,8380507338,Ritika Sharma,130844.26,2024-04-09,13:24:41,-2104259.6,296707.83,Home Loan,1179401.57
31,CREDIT,Bank Transfer,5736462531,Ishaan Reddy,8380507338,Ritika Sharma,120963.1,2024-04-10,14:54:28,-1520581.2,296707.83,Home Loan,1179401.57
32,DEBIT,RTGS,8380507338,Ritika Sharma,8316648259,Aarav Iyer,42738.28,2024-04-10,21:13:57,-2166816.37,296707.83,Home Loan,1179401.57
33,CREDIT,NEFT,6488854841,Vihaan Kapoor,8380507338,Ritika Sharma,118744.41,2024-04-11,22:22:40,1928424.42,296707.83,Home Loan,1179401.57
34,DEBIT,UPI,8380507338,Ritika Sharma,2419179580,Ishaan Kapoor,28804.14,2024-04-12,14:43:19,-3053244.05,296707.83,Home Loan,1179401.57
35,DEBIT,IMPS,8380507338,Ritika Sharma,8047877267,Vihaan Joshi,109112.97,2024-04-12,15:58:45,134585.39,296707.83,Home Loan,1179401.57
36,DEBIT,NEFT,8380507338,Ritika Sharma,6649827836,Saanvi Reddy,93496.42,2024-04-13,00:36:39,-960208.99,296707.83,Home Loan,1179401.57
37,DEBIT,Bank Transfer,8380507338,Ritika Sharma,5284391408,Ishaan Iyer,56006.86,2024-04-30,04:04:34,5421665.88,296707.83,Home Loan,1179401.57
38,DEBIT,Bank Transfer,8380507338,Ritika Sharma,6464693977,Vihaan Joshi,130829.72,2024-05-01,08:39:15,1576061.09,296707.83,Home Loan,1179401.57
39,CREDIT,NEFT,4272602734,Kavya Mehta,8380507338,Ritika Sharma,82043.12,2024-05-01,09:58:44,3423676.89,296707.83,Home Loan,1179401.57
40,CREDIT,NEFT,2419179580,Ishaan Kapoor,8380507338,Ritika Sharma,147041.95,2024-05-02,08:34:01,5231902.58,296707.83,Home Loan,1179401.57
41,DEBIT,IMPS,8380507338,Ritika Sharma,2119980130,Rahul Kumar,49748.85,2024-05-06,00:42:57,-866712.57,296707.83,Home Loan,1179401.57
42,DEBIT,RTGS,8380507338,Ritika Sharma,5284391408,Ishaan Iyer,34903.89,2024-05-07,09:04:29,5807464.06,296707.83,Home Loan,1179401.57
43,DEBIT,Bank Transfer,8380507338,Ritika Sharma,8507497883,Kavya Patel,10110.16,2024-05-23,08:06:41,4093297.15,296707.83,Home Loan,1179401.57
44,DEBIT,IMPS,8380507338,Ritika Sharma,3181106786,Kabir Gupta,64338.54,2024-05-23,09:45:15,-1572606.48,296707.83,Home Loan,1179401.57
45,DEBIT,Bank Transfer,8380507338,Ritika Sharma,3373077218,Vivaan Singh,137385.9,2024-05-23,12:03:21,4381955.27,296707.83,Home Loan,1179401.57
46,CREDIT,RTGS,5047709743,Vihaan Das,8380507338,Ritika Sharma,63794.54,2024-05-26,18:37:56,2971329.07,296707.83,Home Loan,1179401.57
47,CREDIT,RTGS,3553440342,Neha Joshi,8380507338,Ritika Sharma,6545.89,2024-05-26,19:49:15,-3159417.82,296707.83,Home Loan,1179401.57
48,DEBIT,Bank Transfer,8380507338,Ritika Sharma,2986972437,Krishna Sharma,135785.68,2024-06-02,03:58:16,-755008.23,296707.83,Home Loan,1179401.57
49,DEBIT,NEFT,8380507338,Ritika Sharma,3392080953,Vivaan Das,134566.13,2024-06-06,08:10:21,1714953.4,296707.83,Home Loan,1179401.57
50,DEBIT,IMPS,8380507338,Ritika Sharma,6649827836,Saanvi Reddy,1757.32,2024-06-06,08:50:22,1465063.77,296707.83,Home Loan,1179401.57
51,DEBIT,NEFT,8380507338,Ritika Sharma,3373077218,Vivaan Singh,11649.42,2024-06-06,16:34:42,3922447.85,296707.83,Home Loan,1179401.57
52,CREDIT,NEFT,5284391408,Ishaan Iyer,8380507338,Ritika Sharma,34210.38,2024-06-24,07:11:03,2671013.54,296707.83,Home Loan,1179401.57
53,CREDIT,NEFT,9256195745,Ananya Mehta,8380507338,Ritika Sharma,17070.33,2024-06-26,09:55:57,1598393.91,296707.83,Home Loan,1179401.57
54,DEBIT,IMPS,8380507338,Ritika Sharma,9703905715,Aisha Reddy,12010.02,2024-07-01,20:51:01,-2710690.57,296707.83,Home Loan,1179401.57
55,CREDIT,RTGS,8316648259,Aarav Iyer,8380507338,Ritika Sharma,47221.75,2024-07-01,23:06:09,-2289356.74,296707.83,Home Loan,1179401.57
56,CREDIT,UPI,2119980130,Rahul Kumar,8380507338,Ritika Sharma,19421.64,2024-07-03,07:52:56,-3060931.39,296707.83,Home Loan,1179401.57
57,CREDIT,IMPS,3849232839,Ritika Patel,8380507338,Ritika Sharma,40131.68,2024-07-13,15:45:38,-2249225.06,296707.83,Home Loan,1179401.57
58,DEBIT,IMPS,8380507338,Ritika Sharma,1298737106,Krishna Gupta,149734.04,2024-07-14,21:42:43,-2860424.61,296707.83,Home Loan,1179401.57
59,CREDIT,UPI,3342331444,Kavya Mehta,8380507338,Ritika Sharma,111969.25,2024-07-31,01:23:59,467649.74,296707.83,Home Loan,1179401.57
60,CREDIT,RTGS,6971815972,Ritika Iyer,8380507338,Ritika Sharma,73219.35,2024-08-01,05:41:50,6454904.76,296707.83,Home Loan,1179401.57
61,DEBIT,NEFT,8380507338,Ritika Sharma,1311570307,Aryan Joshi,118599.59,2024-08-05,05:48:13,2056544.16,296707.83,Home Loan,1179401.57
62,CREDIT,UPI,8507497883,Kavya Patel,8380507338,Ritika Sharma,96319.09,2024-08-12,18:30:54,-3312897.39,296707.83,Home Loan,1179401.57
63,CREDIT,Bank Transfer,2015242176,Rohan Gupta,8380507338,Ritika Sharma,137752.97,2024-08-13,07:52:27,6261675.12,296707.83,Home Loan,1179401.57
64,CREDIT,UPI,5141907136,Diya Iyer,8380507338,Ritika Sharma,25178.98,2024-08-15,17:00:31,4268884.45,296707.83,Home Loan,1179401.57
65,DEBIT,RTGS,8380507338,Ritika Sharma,7114223633,Saanvi Das,116283.3,2024-08-16,14:54:05,2175143.75,296707.83,Home Loan,1179401.57
66,DEBIT,IMPS,8380507338,Ritika Sharma,5284391408,Ishaan Iyer,36178.12,2024-08-19,00:43:03,-2698680.55,296707.83,Home Loan,1179401.57
67,CREDIT,UPI,5067116918,Ritika Das,8380507338,Ritika Sharma,121143.4,2024-08-21,07:21:52,4166211.98,296707.83,Home Loan,1179401.57
68,DEBIT,RTGS,8380507338,Ritika Sharma,3373077218,Vivaan Singh,66675.55,2024-08-21,14:46:44,5740788.51,296707.83,Home Loan,1179401.57
69,CREDIT,NEFT,5141907136,Diya Iyer,8380507338,Ritika Sharma,9508.59,2024-08-23,04:42:08,4421364.52,296707.83,Home Loan,1179401.57
70,CREDIT,IMPS,4733616459,Ishaan Reddy,8380507338,Ritika Sharma,96184.02,2024-08-27,12:46:44,1162193.39,296707.83,Home Loan,1179401.57
71,CREDIT,UPI,6649827836,Saanvi Reddy,8380507338,Ritika Sharma,83492.83,2024-08-28,08:11:07,2338358.2,296707.83,Home Loan,1179401.57
72,DEBIT,Bank Transfer,8380507338,Ritika Sharma,2139027119,Rohan Kumar,127874.08,2024-09-01,12:04:30,-2294690.45,296707.83,Home Loan,1179401.57
73,DEBIT,UPI,8380507338,Ritika Sharma,3181106786,Kabir Gupta,92482.87,2024-09-06,03:59:17,6125221.29,296707.83,Home Loan,1179401.57
74,CREDIT,RTGS,3030106617,Aisha Singh,8380507338,Ritika Sharma,129529.4,2024-09-07,16:39:19,5462180.78,296707.83,Home Loan,1179401.57
75,CREDIT,NEFT,5310195918,Meera Joshi,8380507338,Ritika Sharma,89017.17,2024-09-09,10:43:27,-1889133.82,296707.83,Home Loan,1179401.57
76,DEBIT,UPI,8380507338,Ritika Sharma,3746317213,Krishna Iyer,148654.87,2024-09-10,19:40:27,243698.36,296707.83,Home Loan,1179401.57
77,DEBIT,NEFT,8380507338,Ritika Sharma,5047709743,Vihaan Das,91624.85,2024-09-13,03:42:35,-1406124.39,296707.83,Home Loan,1179401.57
78,CREDIT,RTGS,6687206971,Kabir Mehta,8380507338,Ritika Sharma,145733.61,2024-09-14,02:57:59,4045068.58,296707.83,Home Loan,1179401.57
79,DEBIT,RTGS,8380507338,Ritika Sharma,2986972437,Krishna Sharma,137278.59,2024-09-14,06:09:43,-2693.2,296707.83,Home Loan,1179401.57
80,DEBIT,IMPS,8380507338,Ritika Sharma,5047709743,Vihaan Das,68980.04,2024-09-14,07:36:07,5930703.9,296707.83,Home Loan,1179401.57
81,DEBIT,Bank Transfer,8380507338,Ritika Sharma,8507497883,Kavya Patel,140536.83,2024-09-16,06:18:58,2566042.37,296707.83,Home Loan,1179401.57
82,CREDIT,Bank Transfer,6687206971,Kabir Mehta,8380507338,Ritika Sharma,118653.69,2024-09-16,07:47:33,3899334.97,296707.83,Home Loan,1179401.57
